Unnamed: 0,id,owner,device,timestamp,cellinfo.wgs84.lat,cellinfo.wgs84.lon,cellinfo.azimuth_degrees,cell,cellinfo.postal_code
10795,10795,Agent15,15_1,2023-05-10 02:51:06.029277,52.07361850114445,4.262027569302328,330,0-0-0,2564AA
10796,10796,Agent15,15_1,2023-05-10 03:18:03.613839,52.07361850114445,4.262027569302328,240,0-0-0,2564AA
10797,10797,Agent15,15_1,2023-05-10 03:42:42.568669,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
10798,10798,Agent15,15_1,2023-05-10 06:30:53.442112,52.05706640956557,4.22735989625621,300,0-0-0,2553BK
10799,10799,Agent15,15_1,2023-05-10 06:55:52.378288,52.04324619172547,4.243461400083376,320,0-0-0,2544EH
10800,10800,Agent15,15_1,2023-05-10 08:29:32.256841,52.07275479651069,4.26760688752843,290,0-0-0,2563HX
10801,10801,Agent15,15_1,2023-05-10 09:54:01.019979,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
10802,10802,Agent15,15_1,2023-05-10 10:52:42.981519,52.08104964681247,4.264583472078816,70,0-0-0,2566MJ
10803,10803,Agent15,15_1,2023-05-10 11:31:45.954228,52.072712726562585,4.279321167092809,300,0-0-0,2562JZ
10804,10804,Agent15,15_1,2023-05-10 12:57:15.174194,52.09414412680462,4.276688642274084,230,0-0-0,2582HX
10805,10805,Agent15,15_1,2023-05-10 13:39:26.329231,52.06290563790818,4.2659865996365385,300,0-0-0,2547KE
10806,10806,Agent15,15_1,2023-05-10 14:21:29.660127,52.069952032067775,4.222358338352654,175,0-0-0,2554EJ
10807,10807,Agent15,15_1,2023-05-10 14:52:37.422676,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
10808,10808,Agent15,15_1,2023-05-10 15:14:44.699532,52.05706640956557,4.22735989625621,300,0-0-0,2553BK
10809,10809,Agent15,15_1,2023-05-10 16:09:18.643221,52.09872688343422,4.282266971965749,240,0-0-0,2517KZ
10810,10810,Agent15,15_1,2023-05-10 18:23:03.008365,52.09612992315632,4.257695671464568,220,0-0-0,2583WB
10811,10811,Agent15,15_1,2023-05-10 19:47:43.102387,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
10812,10812,Agent15,15_1,2023-05-10 20:46:08.001320,52.069952032067775,4.222358338352654,175,0-0-0,2554EJ
10813,10813,Agent15,15_1,2023-05-10 22:11:46.185498,52.08687242240219,4.268158126193231,260,0-0-0,2566EC
10814,10814,Agent15,15_1,2023-05-10 22:42:23.324569,52.069952032067775,4.222358338352654,70,0-0-0,2554EJ
10815,10815,Agent15,15_1,2023-05-10 22:55:18.274352,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
10816,10816,Agent15,15_1,2023-05-10 23:29:18.091533,52.069952032067775,4.222358338352654,220,0-0-0,2554EJ
10817,10817,Agent15,15_1,2023-05-10 23:30:51.158989,52.0420238141414,4.293622388329308,0,0-0-0,2285SB
10818,10818,Agent15,15_1,2023-05-11 04:14:00.509008,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
10819,10819,Agent15,15_1,2023-05-11 04:33:16.703578,52.06977857203903,4.242258112086199,260,0-0-0,2555RZ
10820,10820,Agent15,15_1,2023-05-11 04:37:31.768079,52.06977857203903,4.242258112086199,0,0-0-0,2555RZ
10821,10821,Agent15,15_1,2023-05-11 04:41:38.552363,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
10822,10822,Agent15,15_1,2023-05-11 05:07:44.083669,52.063804456183696,4.261268047713552,240,0-0-0,2552GL
10823,10823,Agent15,15_1,2023-05-11 06:20:32.286874,52.04449472389237,4.209623727340837,260,0-0-0,2553RH
10824,10824,Agent15,15_1,2023-05-11 08:18:17.620384,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10825,10825,Agent15,15_1,2023-05-11 09:44:50.408179,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
10826,10826,Agent15,15_1,2023-05-11 12:27:08.874258,52.058530789403015,4.23001967425754,240,0-0-0,2555KW
10827,10827,Agent15,15_1,2023-05-11 14:26:20.948920,52.07000422097637,4.222181946852292,240,0-0-0,2554EJ
10828,10828,Agent15,15_1,2023-05-11 14:56:35.230786,52.07275479651069,4.26760688752843,40,0-0-0,2563HX
10829,10829,Agent15,15_1,2023-05-11 17:03:30.937883,52.05285017582222,4.24664241887249,300,0-0-0,2552XB
10830,10830,Agent15,15_1,2023-05-11 18:02:59.471730,52.07404192937162,4.253687571198255,30,0-0-0,2565RV
10831,10831,Agent15,15_1,2023-05-11 19:20:55.090860,52.066138790014776,4.245107764777126,0,0-0-0,2566AE
10832,10832,Agent15,15_1,2023-05-11 19:34:30.542682,52.063804456183696,4.261268047713552,340,0-0-0,2552GL
10833,10833,Agent15,15_1,2023-05-11 19:34:56.271564,52.07279442952106,4.279406664899659,240,0-0-0,2562JZ
10834,10834,Agent15,15_1,2023-05-11 19:47:08.491242,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
10835,10835,Agent15,15_1,2023-05-11 20:22:36.528016,52.09002655206903,4.261454196654926,270,0-0-0,2583JD
10836,10836,Agent15,15_1,2023-05-11 20:54:14.331031,52.07297714054128,4.264523479908312,240,0-0-0,2563KP
10837,10837,Agent15,15_1,2023-05-11 21:04:23.709545,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
10838,10838,Agent15,15_1,2023-05-11 22:01:38.250654,52.09612992315632,4.257695671464568,130,0-0-0,2583WB
10839,10839,Agent15,15_1,2023-05-12 00:11:08.185734,52.05648651968931,4.263041529112172,255,0-0-0,2545EV
10840,10840,Agent15,15_1,2023-05-12 01:08:19.605137,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
10841,10841,Agent15,15_1,2023-05-12 01:37:29.810526,52.05706640956557,4.22735989625621,160,0-0-0,2553BK
10842,10842,Agent15,15_1,2023-05-12 05:58:26.875153,52.10433554726747,4.280318279252501,260,0-0-0,2584EZ
10843,10843,Agent15,15_1,2023-05-12 06:04:47.845596,52.06611878763852,4.287403900993069,0,0-0-0,2571EM
10844,10844,Agent15,15_1,2023-05-12 07:23:21.409387,52.04068723919739,4.256791328284077,240,0-0-0,2542KA
10845,10845,Agent15,15_1,2023-05-12 07:41:36.301303,52.05025255104066,4.263489665681453,270,0-0-0,2544CS
10846,10846,Agent15,15_1,2023-05-12 07:47:15.042240,52.044567053479554,4.209665558444273,60,0-0-0,2553RH
10847,10847,Agent15,15_1,2023-05-12 09:01:15.191383,52.04553713226484,4.202423872858086,0,0-0-0,2681PD
10848,10848,Agent15,15_1,2023-05-12 09:48:16.627253,52.044567053479554,4.209665558444273,60,0-0-0,2553RH
10849,10849,Agent15,15_1,2023-05-12 11:19:48.701833,52.04553713226484,4.202423872858086,120,0-0-0,2681PD
10850,10850,Agent15,15_1,2023-05-12 11:56:50.929386,52.04553713226484,4.202423872858086,120,0-0-0,2681PD
10851,10851,Agent15,15_1,2023-05-12 13:20:52.023659,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10852,10852,Agent15,15_1,2023-05-12 13:48:40.082428,52.08064190542673,4.276571624168578,240,0-0-0,2517EZ
10853,10853,Agent15,15_1,2023-05-12 13:49:47.199013,52.072712726562585,4.279321167092809,300,0-0-0,2562JZ
10854,10854,Agent15,15_1,2023-05-12 13:50:05.080358,52.05268302327002,4.278081865882272,0,0-0-0,2545JB
10855,10855,Agent15,15_1,2023-05-12 14:05:12.351575,52.08084100843122,4.264384455698929,320,0-0-0,2566MJ
10856,10856,Agent15,15_1,2023-05-12 14:21:53.452884,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10857,10857,Agent15,15_1,2023-05-12 15:14:26.876674,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
10858,10858,Agent15,15_1,2023-05-12 17:14:48.537611,52.08204583759228,4.274844336714905,240,0-0-0,2517PM
10859,10859,Agent15,15_1,2023-05-12 17:38:02.186345,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10860,10860,Agent15,15_1,2023-05-12 18:23:17.802019,52.09002202420556,4.261921270820515,300,0-0-0,2583JG
10861,10861,Agent15,15_1,2023-05-12 18:43:37.391536,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10862,10862,Agent15,15_1,2023-05-12 19:19:41.933775,52.069952032067775,4.222358338352654,220,0-0-0,2554EJ
10863,10863,Agent15,15_1,2023-05-12 19:42:48.199262,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
10864,10864,Agent15,15_1,2023-05-12 19:50:49.872589,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
10865,10865,Agent15,15_1,2023-05-12 21:50:01.118066,52.07813130336891,4.24340106351199,250,0-0-0,2566SE
10866,10866,Agent15,15_1,2023-05-12 21:53:18.764796,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
10867,10867,Agent15,15_1,2023-05-12 23:34:41.509429,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
10868,10868,Agent15,15_1,2023-05-13 00:18:16.760764,52.07275479651069,4.26760688752843,290,0-0-0,2563HX
10869,10869,Agent15,15_1,2023-05-13 02:11:20.634772,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
10870,10870,Agent15,15_1,2023-05-13 06:27:20.788342,52.065157975126894,4.283664754786113,300,0-0-0,2573KN
10871,10871,Agent15,15_1,2023-05-13 06:48:35.602806,52.07361850114445,4.262027569302328,330,0-0-0,2564AA
10872,10872,Agent15,15_1,2023-05-13 07:07:51.033420,52.07361850114445,4.262027569302328,330,0-0-0,2564AA
10873,10873,Agent15,15_1,2023-05-13 08:18:42.150034,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
10874,10874,Agent15,15_1,2023-05-13 09:14:00.101466,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10875,10875,Agent15,15_1,2023-05-13 10:14:18.208621,52.07297714054128,4.264523479908312,0,0-0-0,2563KP
10876,10876,Agent15,15_1,2023-05-13 11:51:49.880433,52.07404192937162,4.253687571198255,30,0-0-0,2565RV
10877,10877,Agent15,15_1,2023-05-13 13:36:34.176820,52.08687242240219,4.268158126193231,260,0-0-0,2566EC
10878,10878,Agent15,15_1,2023-05-13 13:53:01.020053,52.06290563790818,4.2659865996365385,300,0-0-0,2547KE
10879,10879,Agent15,15_1,2023-05-13 15:41:17.269994,52.07813130336891,4.24340106351199,150,0-0-0,2566SE
10880,10880,Agent15,15_1,2023-05-13 18:29:56.891413,52.08204583759228,4.274844336714905,0,0-0-0,2517PM
10881,10881,Agent15,15_1,2023-05-13 18:44:58.037557,52.08204583759228,4.274844336714905,0,0-0-0,2517PM
10882,10882,Agent15,15_1,2023-05-14 00:12:19.326848,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
10883,10883,Agent15,15_1,2023-05-14 00:33:38.929013,52.0619910305678,4.247488629903204,0,0-0-0,2555XP
10884,10884,Agent15,15_1,2023-05-14 02:18:30.407145,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
10885,10885,Agent15,15_1,2023-05-14 03:12:50.624648,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
10886,10886,Agent15,15_1,2023-05-14 04:25:33.242877,52.07404192937162,4.253687571198255,30,0-0-0,2565RV
10887,10887,Agent15,15_1,2023-05-14 06:05:53.279285,52.093139732629,4.2759839143813805,240,0-0-0,2582BV
10888,10888,Agent15,15_1,2023-05-14 06:29:09.713739,52.08798896398422,4.256121100322878,150,0-0-0,2583MP
10889,10889,Agent15,15_1,2023-05-14 07:32:17.215908,52.07361850114445,4.262027569302328,330,0-0-0,2564AA
10890,10890,Agent15,15_1,2023-05-14 09:01:39.591162,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
10891,10891,Agent15,15_1,2023-05-14 09:30:36.818521,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
10892,10892,Agent15,15_1,2023-05-14 09:35:53.975292,52.10087029661056,4.27125238386335,200,0-0-0,2583DT
10893,10893,Agent15,15_1,2023-05-14 10:18:19.726395,52.05706640956557,4.22735989625621,300,0-0-0,2553BK
10894,10894,Agent15,15_1,2023-05-14 11:18:53.296685,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
10895,10895,Agent15,15_1,2023-05-14 11:24:03.517764,52.09002655206903,4.261454196654926,0,0-0-0,2583JD
10896,10896,Agent15,15_1,2023-05-14 11:59:48.282490,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
10897,10897,Agent15,15_1,2023-05-14 13:21:39.702533,52.06995957666442,4.222212281452389,40,0-0-0,2554EJ
10898,10898,Agent15,15_1,2023-05-14 13:46:14.617019,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
10899,10899,Agent15,15_1,2023-05-14 14:05:24.082977,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
10900,10900,Agent15,15_1,2023-05-14 14:22:14.982336,52.0619910305678,4.247488629903204,0,0-0-0,2555XP
10901,10901,Agent15,15_1,2023-05-14 15:23:32.060414,52.09184302974538,4.284348777769947,240,0-0-0,2517JX
10902,10902,Agent15,15_1,2023-05-14 15:46:29.333533,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
