Unnamed: 0,id,owner,device,timestamp,cellinfo.wgs84.lat,cellinfo.wgs84.lon,cellinfo.azimuth_degrees,cell,cellinfo.postal_code
5337,5337,Agent15,15_1,2023-05-10 02:52:51.941538,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
5338,5338,Agent15,15_1,2023-05-10 04:20:54.597239,52.04553713226484,4.202423872858086,120,0-0-0,2681PD
5339,5339,Agent15,15_1,2023-05-10 05:37:44.396046,52.044567053479554,4.209665558444273,300,0-0-0,2553RH
5340,5340,Agent15,15_1,2023-05-10 05:50:02.442505,52.044567053479554,4.209665558444273,60,0-0-0,2553RH
5341,5341,Agent15,15_1,2023-05-10 06:38:15.281289,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
5342,5342,Agent15,15_1,2023-05-10 07:42:47.487931,52.081040938110725,4.264612869798548,240,0-0-0,2566MJ
5343,5343,Agent15,15_2,2023-05-10 09:40:35.170674,52.07699569732129,4.271206157029522,240,0-0-0,2565KH
5344,5344,Agent15,15_2,2023-05-10 09:41:59.277908,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
5345,5345,Agent15,15_2,2023-05-10 10:08:28.738570,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
5346,5346,Agent15,15_2,2023-05-10 11:08:49.011902,52.066138790014776,4.245107764777126,0,0-0-0,2566AE
5347,5347,Agent15,15_2,2023-05-10 12:25:59.809905,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5348,5348,Agent15,15_2,2023-05-10 12:59:52.423221,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
5349,5349,Agent15,15_2,2023-05-10 13:14:54.270312,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
5350,5350,Agent15,15_2,2023-05-10 13:35:06.573284,52.072712726562585,4.279321167092809,300,0-0-0,2562JZ
5351,5351,Agent15,15_2,2023-05-10 15:14:37.836695,52.069952032067775,4.222358338352654,120,0-0-0,2554EJ
5352,5352,Agent15,15_2,2023-05-10 16:24:57.924317,52.06977857203903,4.242258112086199,90,0-0-0,2555RZ
5353,5353,Agent15,15_1,2023-05-10 17:01:08.371996,52.05025255104066,4.263489665681453,270,0-0-0,2544CS
5354,5354,Agent15,15_1,2023-05-10 17:30:34.724959,52.04553713226484,4.202423872858086,120,0-0-0,2681PD
5355,5355,Agent15,15_1,2023-05-10 20:44:03.776112,52.06977857203903,4.242258112086199,260,0-0-0,2555RZ
5356,5356,Agent15,15_1,2023-05-10 21:35:57.504811,52.05706640956557,4.22735989625621,300,0-0-0,2553BK
5357,5357,Agent15,15_1,2023-05-10 21:37:40.008334,52.07000422097637,4.222181946852292,30,0-0-0,2554EJ
5358,5358,Agent15,15_1,2023-05-11 00:04:17.110928,52.069952032067775,4.222358338352654,270,0-0-0,2554EJ
5359,5359,Agent15,15_1,2023-05-11 00:13:33.654548,52.06977857203903,4.242258112086199,260,0-0-0,2555RZ
5360,5360,Agent15,15_1,2023-05-11 00:20:06.511611,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
5361,5361,Agent15,15_1,2023-05-11 00:25:04.290567,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5362,5362,Agent15,15_1,2023-05-11 00:31:07.697501,52.04324619172547,4.243461400083376,320,0-0-0,2544EH
5363,5363,Agent15,15_1,2023-05-11 00:39:34.189114,52.033998493041615,4.239033789336414,300,0-0-0,2544JL
5364,5364,Agent15,15_1,2023-05-11 01:26:27.760669,52.09002202420556,4.261921270820515,180,0-0-0,2583JG
5365,5365,Agent15,15_1,2023-05-11 02:10:10.029702,52.05620740404867,4.2526811024842655,240,0-0-0,2552ZM
5366,5366,Agent15,15_1,2023-05-11 03:39:03.293332,52.09002655206903,4.261454196654926,270,0-0-0,2583JD
5367,5367,Agent15,15_1,2023-05-11 04:33:24.253694,52.06995957666442,4.222212281452389,130,0-0-0,2554EJ
5368,5368,Agent15,15_1,2023-05-11 06:25:35.271495,52.06995957666442,4.222212281452389,230,0-0-0,2554EJ
5369,5369,Agent15,15_1,2023-05-11 06:28:06.691765,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5370,5370,Agent15,15_1,2023-05-11 07:46:12.507353,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
5371,5371,Agent15,15_2,2023-05-11 09:01:30.245323,52.069952032067775,4.222358338352654,175,0-0-0,2554EJ
5372,5372,Agent15,15_2,2023-05-11 09:37:01.269420,52.0593105361377,4.231618177054061,40,0-0-0,2551KK
5373,5373,Agent15,15_2,2023-05-11 09:45:28.157241,52.069952032067775,4.222358338352654,120,0-0-0,2554EJ
5374,5374,Agent15,15_2,2023-05-11 10:34:26.066138,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5375,5375,Agent15,15_2,2023-05-11 10:43:04.821988,52.069952032067775,4.222358338352654,270,0-0-0,2554EJ
5376,5376,Agent15,15_2,2023-05-11 11:34:26.122363,52.07813130336891,4.24340106351199,250,0-0-0,2566SE
5377,5377,Agent15,15_2,2023-05-11 13:51:20.910186,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
5378,5378,Agent15,15_2,2023-05-11 13:52:56.006708,52.04324619172547,4.243461400083376,320,0-0-0,2544EH
5379,5379,Agent15,15_2,2023-05-11 14:24:06.603105,52.044567053479554,4.209665558444273,60,0-0-0,2553RH
5380,5380,Agent15,15_2,2023-05-11 15:53:27.111723,52.06699582352632,4.246354787055097,250,0-0-0,2564BZ
5381,5381,Agent15,15_2,2023-05-11 16:01:35.226181,52.05706640956557,4.22735989625621,300,0-0-0,2553BK
5382,5382,Agent15,15_2,2023-05-11 16:31:37.890719,52.04718227783449,4.253580423882981,110,0-0-0,2544EB
5383,5383,Agent15,15_2,2023-05-11 16:35:02.463610,52.04553713226484,4.202423872858086,120,0-0-0,2681PD
5384,5384,Agent15,15_1,2023-05-11 17:48:31.817772,52.05200004248526,4.233192016280077,0,0-0-0,2553AW
5385,5385,Agent15,15_1,2023-05-11 18:06:23.893040,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
5386,5386,Agent15,15_1,2023-05-11 19:03:21.878530,52.08687242240219,4.268158126193231,260,0-0-0,2566EC
5387,5387,Agent15,15_1,2023-05-11 21:07:33.441391,52.07361850114445,4.262027569302328,330,0-0-0,2564AA
5388,5388,Agent15,15_1,2023-05-11 21:13:06.743137,52.08104964681247,4.264583472078816,280,0-0-0,2566MJ
5389,5389,Agent15,15_1,2023-05-11 22:04:06.821864,52.08084100843122,4.264384455698929,270,0-0-0,2566MJ
5390,5390,Agent15,15_1,2023-05-12 01:17:17.026594,52.044567053479554,4.209665558444273,60,0-0-0,2553RH
5391,5391,Agent15,15_1,2023-05-12 03:32:38.692818,52.06995957666442,4.222212281452389,230,0-0-0,2554EJ
5392,5392,Agent15,15_1,2023-05-12 03:56:58.453678,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5393,5393,Agent15,15_1,2023-05-12 04:58:12.354877,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5394,5394,Agent15,15_1,2023-05-12 05:34:56.561986,52.06716712250266,4.296712524496421,0,0-0-0,2526JB
5395,5395,Agent15,15_1,2023-05-12 06:08:32.875824,52.09138202544729,4.266921609920318,120,0-0-0,2581VD
5396,5396,Agent15,15_1,2023-05-12 06:18:30.026547,52.080245778744654,4.296714641430447,240,0-0-0,2513CZ
5397,5397,Agent15,15_1,2023-05-12 06:27:03.069740,52.0593105361377,4.231618177054061,270,0-0-0,2551KK
5398,5398,Agent15,15_1,2023-05-12 07:03:11.322080,52.06699582352632,4.246354787055097,250,0-0-0,2564BZ
5399,5399,Agent15,15_1,2023-05-12 07:25:41.330284,52.04553713226484,4.202423872858086,0,0-0-0,2681PD
5400,5400,Agent15,15_1,2023-05-12 07:33:58.492434,52.04449472389237,4.209623727340837,60,0-0-0,2553RH
5401,5401,Agent15,15_1,2023-05-12 08:44:12.785913,52.04449472389237,4.209623727340837,60,0-0-0,2553RH
5402,5402,Agent15,15_1,2023-05-12 08:58:49.440438,52.034233929996645,4.232775345165334,240,0-0-0,2685DC
5403,5403,Agent15,15_2,2023-05-12 09:46:09.334286,52.069952032067775,4.222358338352654,70,0-0-0,2554EJ
5404,5404,Agent15,15_2,2023-05-12 11:17:57.878122,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
5405,5405,Agent15,15_2,2023-05-12 11:45:01.254380,52.05195628376497,4.254611358181824,220,0-0-0,2544EZ
5406,5406,Agent15,15_2,2023-05-12 12:11:59.989421,52.023859098085325,4.217131127407329,30,0-0-0,2685CE
5407,5407,Agent15,15_2,2023-05-12 15:54:58.366686,52.07275479651069,4.26760688752843,290,0-0-0,2563HX
5408,5408,Agent15,15_2,2023-05-12 16:13:44.722159,52.063804456183696,4.261268047713552,340,0-0-0,2552GL
5409,5409,Agent15,15_2,2023-05-12 16:15:23.677910,52.07275479651069,4.26760688752843,290,0-0-0,2563HX
5410,5410,Agent15,15_2,2023-05-12 16:49:45.529824,52.08798896398422,4.256121100322878,150,0-0-0,2583MP
5411,5411,Agent15,15_1,2023-05-12 17:11:37.877964,52.09612992315632,4.257695671464568,130,0-0-0,2583WB
5412,5412,Agent15,15_1,2023-05-12 18:16:46.509303,52.08739233099306,4.281335939507345,240,0-0-0,2517HV
5413,5413,Agent15,15_1,2023-05-12 18:16:57.984308,52.07813130336891,4.24340106351199,50,0-0-0,2566SE
5414,5414,Agent15,15_1,2023-05-12 21:21:57.002971,52.07361850114445,4.262027569302328,70,0-0-0,2564AA
5415,5415,Agent15,15_1,2023-05-12 22:47:45.377035,52.04553713226484,4.202423872858086,120,0-0-0,2681PD
5416,5416,Agent15,15_1,2023-05-12 23:49:04.762098,52.06290563790818,4.2659865996365385,300,0-0-0,2547KE
5417,5417,Agent15,15_1,2023-05-13 01:49:15.347948,52.04553713226484,4.202423872858086,0,0-0-0,2681PD
5418,5418,Agent15,15_1,2023-05-13 01:53:18.793249,52.06977857203903,4.242258112086199,240,0-0-0,2555RZ
5419,5419,Agent15,15_1,2023-05-13 02:26:19.269313,52.07404192937162,4.253687571198255,270,0-0-0,2565RV
5420,5420,Agent15,15_1,2023-05-13 03:06:21.125040,52.07361850114445,4.262027569302328,330,0-0-0,2564AA
5421,5421,Agent15,15_1,2023-05-13 03:10:17.359411,52.05271594098695,4.24670416060221,0,0-0-0,2552VV
5422,5422,Agent15,15_1,2023-05-13 04:06:21.196999,52.05706640956557,4.22735989625621,160,0-0-0,2553BK
5423,5423,Agent15,15_1,2023-05-13 04:38:10.048997,52.05200004248526,4.233192016280077,240,0-0-0,2553AW
5424,5424,Agent15,15_1,2023-05-13 04:42:10.810928,52.044567053479554,4.209665558444273,60,0-0-0,2553RH
